team_a,team_b,kalshi_event,polymarket_event,kalshi_yes_a,poly_yes_a,kalshi_yes_b,poly_yes_b,kalshi_url,polymarket_url
coastal carolina,fordham,Fordham vs Coastal Carolina,Fordham vs. Coastal Carolina,0.98,0.978,0.03,0.022,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12forccar,https://polymarket.com/event/cfb-fordm-coast-2026-09-12
colorado,weber state,Weber St. vs Colorado,Weber State vs. Colorado,0.99,0.9855,0.02,0.0145,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12webcolo,https://polymarket.com/event/cfb-webst-col-2026-09-12
colorado state,southern utah,Southern Utah vs Colorado St.,Southern Utah vs. Colorado State,0.93,0.925,0.08,0.075,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12suucsu,https://polymarket.com/event/cfb-sutah-colst-2026-09-12
delaware,vanderbilt,Delaware vs Vanderbilt,Delaware vs. Vanderbilt,0.09,0.085,0.92,0.915,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12delvan,https://polymarket.com/event/cfb-del-vand-2026-09-12
drake,northern iowa,Drake vs Northern Iowa,Drake vs. Northern Iowa,0.19,0.185,0.82,0.815,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12drkeuni,https://polymarket.com/event/cfb-drake-niowa-2026-09-12
duke,illinois,Duke vs Illinois,Duke vs. Illinois,0.34,0.335,0.68,0.665,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12dukeill,https://polymarket.com/event/cfb-duke-ill-2026-09-12
duquesne,youngstown state,Duquesne vs Youngstown St.,Duquesne vs. Youngstown State,0.1,0.09,0.92,0.91,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12duqysu,https://polymarket.com/event/cfb-duq-yngst-2026-09-12
east tennessee state,north carolina,East Tennessee St. vs North Carolina,East Tennessee State vs. North Carolina,0.02,0.019,0.99,0.981,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12etsuunc,https://polymarket.com/event/cfb-etnst-ncar-2026-09-12
east texas a and m,northwestern state,Northwestern St. vs East Texas A&M,Northwestern State vs. East Texas A&M,0.91,0.92,0.09,0.08,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12nwstetam,https://polymarket.com/event/cfb-nwst-txamc-2026-09-12
eastern illinois,indiana state,Indiana St. vs Eastern Illinois,Indiana State vs. Eastern Illinois,0.48,0.505,0.54,0.495,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12insteiu,https://polymarket.com/event/cfb-indst-eill-2026-09-12
eastern michigan,michigan state,Eastern Michigan vs Michigan St.,Eastern Michigan vs. Michigan State,0.13,0.115,0.89,0.885,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12emumsu,https://polymarket.com/event/cfb-emich-mst-2026-09-12
eastern washington,south dakota,Eastern Washington vs South Dakota,Eastern Washington vs. South Dakota,0.15,0.155,0.85,0.845,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12ewusdak,https://polymarket.com/event/cfb-ewash-sdak-2026-09-12
elon,rhode island,Elon vs Rhode Island,Elon vs. Rhode Island,0.28,0.275,0.73,0.725,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12elonuri,https://polymarket.com/event/cfb-elon-ri-2026-09-12
