team_a,team_b,kalshi_event,polymarket_event,kalshi_yes_a,poly_yes_a,kalshi_yes_b,poly_yes_b,kalshi_url,polymarket_url
louisiana,usc,Louisiana vs USC,Louisiana vs. USC,0.03,0.023,0.98,0.977,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12ullusc,https://polymarket.com/event/cfb-loulaf-usc-2026-09-12
louisiana monroe,uab,Louisiana-Monroe vs UAB,Louisiana-Monroe vs. UAB,0.24,0.23,0.78,0.77,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12ulmuab,https://polymarket.com/event/cfb-lamon-uab-2026-09-12
louisville,villanova,Villanova vs Louisville,Villanova vs. Louisville,0.99,0.983,0.02,0.017,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep11villlou,https://polymarket.com/event/cfb-vill-lou-2026-09-11
maine,merrimack,Merrimack vs Maine,Merrimack vs. Maine,0.8,0.795,0.22,0.205,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12mrmkme,https://polymarket.com/event/cfb-merri-maine-2026-09-12
marshall,middle tennessee,Middle Tennessee vs Marshall,Middle Tennessee vs. Marshall,0.83,0.825,0.18,0.175,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12mtumrsh,https://polymarket.com/event/cfb-mtnst-marsh-2026-09-12
maryland,uconn,Maryland vs UConn,Maryland vs. UConn,0.82,0.805,0.19,0.195,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12mdconn,https://polymarket.com/event/cfb-mary-uconn-2026-09-12
mcneese,tarleton state,Tarleton St. vs McNeese,Tarleton State vs. McNeese,0.1,0.085,0.91,0.915,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12tarlmcns,https://polymarket.com/event/cfb-tarl-mcnst-2026-09-12
mercyhurst,new mexico,Mercyhurst vs New Mexico,Mercyhurst vs. New Mexico,0.01,0.008,1.0,0.992,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12mhuunm,https://polymarket.com/event/cfb-mhud34ce7-nmx-2026-09-12
merrimack,tarleton state,Merrimack vs Tarleton St.,Merrimack vs. Tarleton State,0.06,0.055,0.96,0.945,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19mrmktarl,https://polymarket.com/event/cfb-merri-tarl-2026-09-19
michigan,oklahoma,Oklahoma vs Michigan,Oklahoma vs. Michigan,0.34,0.335,0.67,0.665,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12oklamich,https://polymarket.com/event/cfb-okl-mich-2026-09-12
